state_201;Southwest Pheonix;x
state_213;Southeast Pheonix;x
state_225;East Pheonix;x
state_202;North Pheonix;x
state_223;Flagstaff;x
state_182;Kingman;x
state_341;West Red Sun City;x
state_344;East Red Sun City;x
state_1;Wasteland;x
continent_1;Western United States;x
PROV708;Mojave Outpost;x
PROV760;Hidden Valley\nBunker;x
PROV261;Lost Hills Bunker;x
PROV180;Maxson Bunker;x
PROV20;Navarro Base;x
PROV539;Dayglow City Hall;x
PROV778;The Strip;x
PROV650;Area 51;x
PROV1309;New Canaan;x
PROV377;Ranger Citadel;x
state_43;Lost Hills;x
state_30;Maxson;x
state_4;Navarro Base;x
state_66;Shady Sands;x
state_65;Shady Sands Outskirts;x
state_57;Junktown;x
state_53;The Hub;x
state_42;Necropolis;x
state_80;Dayglow;x
state_59;Eastern Boneyard;x
state_46;Western Boneyard;x
state_72;Dana Point;x
state_380;Dog City;x
state_374;Boulder;x
PROV2191;Boulder Dome;x
PROV2230;Gunbarrel Ruins;x
state_119;New Vegas;x
PROV1309;New Canaan;x
state_224;New Canaan;x
state_221;New Jerusalem;x
state_177;Zion National Park;x
state_204;Canyon Point;x
state_163;Rock Crossing;x
state_156;Western Grand Canyon;x
state_195;Eastern Grand Canyon;x
state_136;South Needles;x
state_117;North Needles;x
PROV813;Helios One;x
PROV771;Black\nMountain\nSummit;x
PROV754;Quarry\nJunction;x
PROV832;Searchlight;x
PROV861;Cottonwood Cove;x
PROV826;Novac;x
PROV738;Sloan;x
PROV720;Goodsprings;x
PROV731;Primm;x
PROV775;Nipton;x
PROV798;REPCONN Test Site;x
PROV867;Ranger Station Echo;x
PROV852;Nelson;x
PROV828;Boulder City;x
PROV866;Hoover Dam;x
state_144;Hoover Dam;x
PROV847;Ranger Station Delta;x
PROV853;Camp Forlorn Hope;x
PROV829;Camp Golf;x
PROV862;Bitter Springs;x
PROV851;Ireteba Peak;x
PROV796;Aerotech Park;x
PROV777;Camp McCarran;x
PROV746;Vault 3;x
PROV740;Westside;x
PROV721;Red Rock Canyon;x
PROV783;Wolfhorn Ranch;x
PROV812;Ranger Station Charlie;x
PROV838;Cottonwood Crater;x
PROV718;Old Nuclear Test Site;x
PROV790;Searchlight Airport;x
PROV767;North Vegas Square;x
PROV807;Nellis AFB;x
PROV797;Freeside;x
PROV749;Hidden Valley\nWest;x
PROV799;Hidden Valley\nEast;x
PROV795;Scorpion\nGulch;x
PROV766;Hidden Valley;x
PROV784;Hidden\nValley\nNorth;x
PROV756;Black\nMountain\nApproach;x
state_126;Black Mountain;x
state_125;Hidden Valley;x
PROV621;Hopeville;x
PROV567;Ashton;x
PROV697;Jacobstown;x
PROV636;Mercury Pass;x
PROV689;Mountain Springs;x
PROV743;Ivanpah Dry Lake;x
PROV759;Service Railyard;x
PROV744;NCR Correctional Facility;x
PROV723;Wheaton Springs;x
PROV737;Crescent Canyon;x
PROV806;188 Trading Post;x
PROV776;REPCONN HQ;x
PROV822;El Dorado;x
PROV827;Highway 95;x
PROV724;Bonnie Springs;x
PROV732;Blue Diamond;x
PROV745;Vault 19;x
PROV835;Scrap Yard;x
PROV804;Grub N' Gulp;x
PROV883;Camp Guardian;x
PROV886;Devil's Throat;x
PROV863;Ranger Station Bravo;x
PROV839;Nellis Array;x
PROV808;Nellis Hangars;x
PROV855;Northern Passage;x
PROV677;Ruby Hill;x
PROV702;Brooks Ranch;x
PROV684;Horowitz Farmstead;x
PROV711;Silver Peak;x
PROV757;Tule Springs;x
PROV643;Indian Springs;x
PROV719;Jean;x
PROV739;Powder Ganger Camp;x
