woods;Urban;x
californian_group;Californian;x
central_californian;Central Californian;x
north_californian;North Californian;x
south_californian;South Californian;x
san_franciscan;San Franciscan;x
brotherhood_group;Brotherhood of Steel;x
brotherhood;Brotherhood;x
mojave_group;Mojave;x
north_mojave;North Mojave;x
south_mojave;South Mojave;x
arizona_group;Arizonan;x
desert_arizonan;Desert Arizonan;x
coastal_arizonan;Coastal Arizonan;x
new_mexico_group;New Mexican;x
desert_new_mexican;New Mexican Tribals;x
canyon_new_mexican;Twin Mother Apostate;x
colorado_group;Coloradan;x
east_coloradan;East Coloradan;x
west_coloradan;West Coloradan;x
nevada_group;Nevadan;x
west_nevadan;Nevadan Settlers;x
east_nevadan;Nevadan Bandit;x
utah_group;Utahan;x
canaanite;Canaanite;x
utah_tribal;Syncretic Tribal;x
white_leg;White Leg;x
zeta_group;Zetan;x
zetan;Zetan;x
mexico_group;Mexican;x
bajan;Bajan Mexican;x
mexican;Mexican;x
synthetic_rubber_factory;Rubber Factory;x
state_201;Southwest Pheonix;x
state_213;Southeast Pheonix;x
state_225;East Pheonix;x
state_202;North Pheonix;x
state_223;Flagstaff;x
state_182;Tumbleweed;x
state_341;West Red Sun City;x
state_344;East Red Sun City;x
BAN;World Bank;x
state_1;Wasteland;x
continent_1;Western United States;x
